hogar_alpes_pulsar  | 2026-09-21T04:27:35,095+0000 [broker-client-shared-internal-executor-19-1] INFO  org.apache.pulsar.broker.admin.impl.BrokersBase - [null] Successfully run health check.
hogar_alpes_pulsar  | 2026-09-21T04:27:35,096+0000 [broker-client-shared-internal-executor-19-1] INFO  org.eclipse.jetty.server.RequestLog - 127.0.0.1 - - [21/Sep/2026:04:27:35 +0000] "GET /admin/v2/brokers/health HTTP/1.1" 200 2 "-" "Pulsar-Java-v3.2.0" 17
hogar_alpes_pulsar  | 2026-09-21T04:27:47,426+0000 [pulsar-web-47-18] INFO  org.apache.pulsar.broker.admin.impl.BrokersBase - [null] Running healthCheck with topic=persistent://pulsar/standalone/localhost:8080/healthcheck
hogar_alpes_pulsar  | 2026-09-21T04:27:47,427+0000 [pulsar-io-18-2] INFO  org.apache.pulsar.client.impl.ProducerImpl - [persistent://pulsar/standalone/localhost:8080/healthcheck] [null] Creating producer on cnx [id: 0x5ca8227e, L:/127.0.0.1:33924 - R:localhost/127.0.0.1:6650]
hogar_alpes_pulsar  | 2026-09-21T04:27:47,427+0000 [broker-topic-workers-OrderedExecutor-7-0] INFO  org.apache.pulsar.broker.service.ServerCnx - [/127.0.0.1:33924] Created new producer: Producer{topic=SystemTopic{topic=persistent://pulsar/standalone/localhost:8080/healthcheck}, client=/127.0.0.1:33924, producerName=standalone-0-478, producerId=460}
hogar_alpes_pulsar  | 2026-09-21T04:27:47,428+0000 [pulsar-io-18-2] INFO  org.apache.pulsar.client.impl.ProducerImpl - [persistent://pulsar/standalone/localhost:8080/healthcheck] [standalone-0-478] Created producer on cnx [id: 0x5ca8227e, L:/127.0.0.1:33924 - R:localhost/127.0.0.1:6650]
hogar_alpes_pulsar  | 2026-09-21T04:27:47,428+0000 [pulsar-io-18-2] INFO  org.apache.pulsar.client.impl.ConsumerImpl - [persistent://pulsar/standalone/localhost:8080/healthcheck][healthCheck-16f2a119-d610-4bde-87ca-d5d3a4e05a1c] Subscribing to topic on cnx [id: 0x5ca8227e, L:/127.0.0.1:33924 - R:localhost/127.0.0.1:6650], consumerId 462
hogar_alpes_pulsar  | 2026-09-21T04:27:47,429+0000 [pulsar-io-18-3] INFO  org.apache.pulsar.broker.service.ServerCnx - [[id: 0x8430c51b, L:/127.0.0.1:6650 - R:/127.0.0.1:33924]] Subscribing on topic persistent://pulsar/standalone/localhost:8080/healthcheck / healthCheck-16f2a119-d610-4bde-87ca-d5d3a4e05a1c. consumerId: 462
hogar_alpes_pulsar  | 2026-09-21T04:27:47,429+0000 [BookKeeperClientWorker-OrderedExecutor-4-0] INFO  org.apache.pulsar.broker.service.persistent.PersistentTopic - [persistent://pulsar/standalone/localhost:8080/healthcheck][healthCheck-16f2a119-d610-4bde-87ca-d5d3a4e05a1c] Creating non-durable subscription at msg id 9223372036854775807:9223372036854775807:-1:-1 - {}
hogar_alpes_pulsar  | 2026-09-21T04:27:47,429+0000 [BookKeeperClientWorker-OrderedExecutor-4-0] INFO  org.apache.bookkeeper.mledger.impl.NonDurableCursorImpl - [pulsar/standalone/localhost:8080/persistent/healthcheck] Created non-durable cursor read-position=7:458 mark-delete-position=7:457
